Name,Year,Age,Surgery,Experience,Birthday,SurgeryAge
Marc Bulger,2002,25,10/17/2005,3,4/5/1977,28.553425
Derek Anderson,2006,23,12/26/2006,0,6/15/1983,23.547945
Kyle Boller,2003,22,8/16/2008,5,6/17/1981,27.183562
Bruce Gradkowski,2006,23,11/28/2010,4,1/27/1983,27.854795
Jameis Winston,2015,21,10/15/2017,2,1/6/1994,23.789041
Ben Roethlisberger,2004,22,1/10/2016,12,3/2/1982,33.882192
Jim Miller,1995,24,1/19/2002,6,2/9/1971,30.964384
Scott Mitchell,1991,23,11/6/1993,2,1/2/1968,25.863014
Gary Hogeboom,1980,22,9/14/1986,6,8/21/1958,28.084932
David Archer,1984,22,11/16/1986,2,2/15/1962,24.767123
Tony Eason,1983,24,11/1/1987,4,10/8/1959,28.084932
